trigger_name|t90    |t90_error|t90_start|ra        |dec      |error_radius|lii     |bii     |fluence  |fluence_error|flux_64  |flux_64_error|flux_64_time
bn131214705 | 80.065|    0.871|    2.048|12 15 45.6|-06 20 24|      1.0000|287.1711| 55.4362|7.2171E-5|    2.1205E-7|  54.2005|       3.0687|      57.217
bn131215298 | 23.040|    2.360|    2.560|06 56 16.8| 68 15 36|      1.3800|147.1544| 25.5003|8.0468E-6|    9.0293E-8|   7.8428|       1.4226|       2.880
bn131216081 | 19.262|    3.598|    0.003|06 06 21.6|-35 30 00|      2.2400|242.0253|-23.9780|6.7779E-6|      3.99E-8|   9.4306|       1.0388|       0.512
bn131217108 |  0.768|    1.924|   -0.064|05 46 21.6| 30 36 00|      6.4100|178.6626|  1.0028| 6.761E-7|    3.8613E-8|   8.1645|       1.2469|       0.000
bn131217183 |  9.216|    1.145|   -2.304|15 10 55.2| 25 09 36|      3.1200| 37.3255| 58.7344|5.7466E-6|    7.9917E-8|  13.0949|       3.5540|       0.064
bn131217506 |  3.328|    0.640|   -1.088|03 49 50.4| 43 12 36|     10.7800|154.1032| -8.6074| 6.805E-7|    3.0619E-8|   7.3199|       1.8112|      -0.512
bn131229277 | 12.992|    0.231|    2.144|05 40 55.8|-04 23 46|      0.0014|208.7517|-17.6777|2.6418E-5|    6.6699E-8|  30.7545|       1.6274|      13.408
bn131230529 |  3.072|    1.056|   -2.560|06 04 26.4| 64 17 24|     11.0700|149.6951| 19.4036|5.9074E-7|    3.9786E-8|   7.7351|       2.5263|      -3.008
bn131230808 | 49.152|    4.352|  -10.752|04 52 12.0| 04 50 24|      3.9100|193.7391|-23.7269|4.1066E-6|    4.2846E-8|   4.3078|       1.1133|       4.992
bn131231198 | 31.232|    0.572|   13.312|00 42 21.6|-01 39 00|      0.0010|117.6701|-64.4290|1.5194E-4|    1.1938E-7|  82.7223|       2.6806|      22.976
bn140102887 |  3.648|    0.091|    0.448|14 07 40.6| 01 19 59|      0.0010|341.4493| 58.3839|1.7802E-5|    2.4124E-8|  66.2296|       1.9636|       0.640
bn140104731 |187.137|    2.996|   11.008|14 35 14.4|-08 54 00|      0.2200|341.4703| 46.0604|2.3284E-5|    5.8431E-8|   7.8062|       1.0898|     191.873
bn140105065 |  1.088|    0.466|   -0.384|13 52 52.8| 50 10 12|      6.0700|100.0410| 64.1392|6.4311E-7|    1.3796E-8|   8.1613|       1.1934|       0.000
bn140105748 |  0.576|    0.716|   -0.192|16 51 31.2| 19 01 48|      3.9500| 38.1508| 34.6870| 1.303E-7|    2.1942E-8|   4.8626|       1.0805|       0.320
bn140106345 | 33.024|    7.241|   -0.512|00 09 21.6|-08 45 00|     15.8100| 92.5444|-69.1012|2.4566E-6|    8.3633E-8|   5.7553|       2.1370|      19.904
bn140108721 | 91.393|    2.360|    1.536|21 40 27.1| 58 44 41|      0.0006|100.2722|  4.5484|1.9727E-5|    2.4767E-7|  12.6827|       1.5620|       6.848
bn140109771 |  0.704|    0.773|   -0.960|06 50 57.6| 29 45 36|     10.0300|185.9181| 12.9867|1.8886E-7|    4.2769E-8|   5.9714|       1.7297|      -0.128
bn140109877 |  3.328|    2.560|   -1.024|01 36 21.6|-25 03 00|     37.4500|203.8023|-79.7059| 1.492E-7|    2.4975E-8|   1.4874|       1.1030|      -1.152
bn140110263 |  9.472|    1.619|   -0.256|01 55 36.0|-36 15 36|      0.5000|250.7631|-73.6146| 5.426E-6|    4.5332E-8|   4.8413|       0.9456|       3.584
bn140110411 |  0.768|    0.345|   -0.768|03 22 33.6|-69 17 24|     11.7100|285.8500|-42.4754|4.5951E-8|    5.5071E-9|   3.6824|       1.1924|      -0.192
bn140110814 | 81.152|    6.582|  -17.408|02 07 26.4| 65 09 36|      3.1900|130.8073|  3.4569|8.3201E-6|    1.3078E-7|  11.1039|       3.5424|      44.352
bn140112060 | 12.032|    5.278|   -3.328|00 33 45.6| 11 59 24|      7.1400|116.1048|-50.6473|1.5961E-6|    4.3755E-8|   3.4699|       0.9862|       6.592
bn140113183 | 68.864|    2.985|   -5.888|05 02 31.2| 03 10 48|      9.9900|196.7466|-22.4141|2.6523E-6|    4.4906E-8|   4.0831|       1.1517|      35.200
bn140113624 |  4.608|    2.360|   -0.768|21 57 28.8| 18 07 48|     12.2800| 75.0489|-28.1473|5.7043E-7|    3.8607E-8|   4.5908|       1.1642|      -0.448
bn140115863 | 14.909|    1.072|    0.003|14 00 07.2|-61 24 36|      2.2000|311.0536|  0.3740|3.9525E-6|    3.7625E-8|   7.2010|       1.1238|       9.024
bn140115899 | 10.496|    1.950|   -1.792|06 19 26.4|-48 51 36|      5.1800|256.9028|-25.1435|3.2559E-6|    5.4392E-8|  13.1227|       1.9676|       0.832
bn140118064 | 90.112|    2.202|  -71.168|22 04 00.7|-17 56 53|      0.0500| 37.3319|-50.4559|3.9593E-6|    4.6004E-8|   5.6357|       1.3053|      -3.264
bn140122597 |  3.584|    1.864|   -0.256|03 44 19.2| 15 05 24|      5.2600|173.0483|-30.4963|9.0539E-7|    5.2717E-8|   5.0875|       1.5318|       1.920
bn140124527 |121.538|    5.838|  -12.672|04 16 43.2| 38 28 48|      2.0200|161.1218| -8.7245|2.0142E-5|    1.4171E-7|   5.6967|       1.0795|      65.409
bn140126815 | 75.776|    2.290|  -58.368|13 54 48.0| 31 16 48|      5.8400| 53.4268| 75.5789|5.3456E-6|    4.0424E-8|   5.0090|       1.2063|       0.064
bn140129499 |  0.128|    0.707|   -0.064|12 13 36.0|-10 19 12|      9.0600|287.8963| 51.4438|2.2354E-7|    1.5326E-8|   6.8064|       1.3466|      -0.064
bn140204547 | 71.168|    8.798|   -1.536|11 04 26.4| 62 31 48|      5.6400|141.9658| 50.4596|2.3535E-6|    3.6892E-8|   3.7134|       0.9172|       4.864
bn140206275 |146.690|    4.419|    7.488|21 01 02.4|-08 31 12|      0.2300| 40.4217|-32.6278|1.2308E-4|    2.7822E-7|  46.4072|       1.5661|      13.888
bn140206304 | 27.264|    1.243|    0.512|09 41 20.2| 66 45 39|      0.0020|145.6154| 41.0043| 1.552E-5|    7.4778E-8|  24.1632|       2.1299|       7.168
bn140209313 |  1.408|    0.264|    1.344|05 25 18.7| 32 29 17|      0.0170|174.6534| -1.7535|8.9683E-6|    5.3332E-8| 120.5320|       3.4375|       1.664
bn140211091 |  3.456|    0.724|   -0.896|07 43 21.6|-13 35 24|      3.9900|230.9826|  5.0007|7.3661E-7|    3.1895E-8|   6.4297|       1.3275|       0.384
bn140213807 | 18.624|    0.716|    0.768|07 00 52.3|-73 08 10|      0.0100|284.2485|-25.1981|2.1248E-5|    6.5441E-8|  42.8077|       2.0802|       6.464
bn140216331 |  2.432|    0.590|   -1.728|12 56 09.6| 31 27 36|     13.7300|109.8476| 85.5477|9.7411E-7|    1.1029E-7|   3.4622|       1.0405|      -1.408
bn140217043 | 27.136|   14.082|   -0.256|23 57 33.6| 76 45 00|      3.0800|119.7749| 14.2096|2.3443E-6|    3.6861E-8|   6.3874|       1.3146|       0.256
bn140218427 | 53.505|    5.684|   -1.024|23 09 55.2| 44 32 24|      3.6200|104.5230|-14.6727|5.6143E-6|    6.1862E-8|   4.6305|       1.2470|       6.528
bn140219319 |  6.080|    0.464|   -0.128|14 47 43.2| 50 00 00|      8.2300| 86.6589| 58.1366|2.6949E-6|    2.7003E-8|   5.0674|       0.9039|       5.056
